ID,Parameter_ID,Name,Description
marker-type-c1,marker-type,ablaut,
marker-type-c2,marker-type,affix,
marker-type-c3,marker-type,"affix, zero",
marker-type-c4,marker-type,"affixes, zero",
marker-type-c5,marker-type,clitic,
marker-type-c6,marker-type,overt,
marker-type-c7,marker-type,particle,
marker-type-c8,marker-type,reduplication,
marker-type-c9,marker-type,"reduplication, affix",
marker-type-c10,marker-type,zero,
functions-c1,functions,atelic,
functions-c2,functions,"atelic, avoidanceErg",
functions-c3,functions,"atelic, customary",
functions-c4,functions,"atelic, incorporation",
functions-c5,functions,"atelic, low individuation",
functions-c6,functions,"atelic, pragmatic",
functions-c7,functions,"atelic, syntactic",
functions-c8,functions,"irrealis, negation, person hierarchy",
functions-c9,functions,syntactic,
functions-c10,functions,syntactic pivot; deemphasize patient; but also atelic (Ngali 2006: 134),
functions-c11,functions,"syntactic, atelic",
functions-c12,functions,"syntactic, atelic, stylistic",
functions-c13,functions,"syntactic, incorporation",
functions-c14,functions,"syntactic, incorporation, low-individuation",
functions-c15,functions,syntatic,
functions-c16,functions,"syntatic, incorporation, pragmatic",
polysemy-c1,polysemy,dedicated,
polysemy-c2,polysemy,dedictaed,
polysemy-c3,polysemy,kliq is syncretic (inceptive aspect); tnik and kliq function also as adversative (Nagai 2006: 134),
polysemy-c4,polysemy,n/a,
polysemy-c5,polysemy,syncrectic,
polysemy-c6,polysemy,syncretic,
productivity-c1,productivity,restricted,
productivity-c2,productivity,unrestricted,
p-obligatoriness-c1,p-obligatoriness,flexible,
p-obligatoriness-c2,p-obligatoriness,forbidden,
p-obligatoriness-c3,p-obligatoriness,mostly_missing,
p-obligatoriness-c4,p-obligatoriness,obligatory,
p-obligatoriness-c5,p-obligatoriness,obligatory*,
p-obligatoriness-c6,p-obligatoriness,split,
p-definiteness-c1,p-definiteness,definite,
p-definiteness-c2,p-definiteness,indefinite,
p-definiteness-c3,p-definiteness,rather_indef,
p-definiteness-c4,p-definiteness,restricted,
p-definiteness-c5,p-definiteness,unrestricted,
